Time,Zeroed
116.8,-0.45
117,-0.5
117.2,-0.1
117.4,-0.15
117.6,-0.25
117.8,-0.2
118,-0.35
118.2,-0.2
118.4,-0.2
118.6,-0.25
118.8,-0.05
119,-0.1
119.2,-0.35
119.4,-0.15
119.6,-0.45
119.8,-0.25
120,-0.5
120.2,-0.15
120.4,-0.3
120.6,-0.3
120.8,-0.25
121,-0.3
121.2,-0.35
121.4,-0.3
121.6,-0.4
121.8,-0.25
122,-0.3
122.2,-0.3
122.4,-0.3
122.6,-0.25
122.8,-0.25
123,-0.25
123.2,-0.1
123.4,-0.1
123.6,-0.35
123.8,-0.15
124,-0.4
124.2,-0.25
124.4,-0.2
124.6,0
124.8,-0.35
125,-0.2
125.2,-0.15
125.4,-0.1
125.6,-0.35
125.8,-0.3
126,-0.2
126.2,-0.35
126.4,-0.15
126.6,-0.2
126.8,-0.15
127,-0.15
127.2,-0.35
127.4,-0.3
127.6,-0.1
127.8,-0.45
128,-0.5
128.2,-0.2
128.4,-0.4
128.6,-0.2
128.8,-0.5
129,-0.25
129.2,-0.05
129.4,-0.2
129.6,-0.25
129.8,-0.05
130,0
130.2,-0.3
130.4,-0.35
130.6,-0.35
130.8,-0.4
131,-0.4
131.2,0.05
131.4,-0.2
131.6,-0.15
131.8,-0.4
132,-0.55
132.2,-0.25
132.4,-0.4
132.6,-0.35
132.8,-0.35
133,-0.05
133.2,-0.3
133.4,-0.45
133.6,-0.2
133.8,-0.25
134,-0.2
134.2,-0.4
134.4,-0.4
134.6,-0.35
134.8,-0.4
135,-0.25
135.2,-0.15
135.4,-0.35
135.6,-0.3
135.8,-0.2
136,-0.35
136.2,-0.4
136.4,-0.35
136.6,-0.55
136.8,-0.2
137,-0.2
137.2,-0.3
137.4,-0.35
137.6,-0.05
137.8,-0.35
138,-0.3
138.2,-0.3
138.4,-0.25
138.6,-0.1
138.8,-0.25
139,-0.35
139.2,-0.15
139.4,-0.4
139.6,-0.2
139.8,-0.25
140,-0.25
140.2,-0.25
140.4,-0.2
140.6,-0.35
140.8,-0.3
141,-0.4
141.2,-0.35
141.4,-0.4
141.6,-0.3
141.8,-0.3
142,-0.25
142.2,-0.45
142.4,-0.3
142.6,-0.2
142.8,-0.3
143,-0.25
143.2,-0.35
143.4,-0.3
143.6,-0.3
143.8,-0.3
144,-0.3
144.2,-0.35
144.4,-0.25
144.6,-0.45
144.8,-0.2
145,-0.15
145.2,-0.25
145.4,-0.35
145.6,-0.1
145.8,-0.3
146,-0.25
146.2,-0.3
146.4,-0.2
146.6,-0.45
146.8,-0.2
147,-0.2
147.2,-0.25
147.4,-0.3
147.6,-0.2
147.8,-0.05
148,-0.45
148.2,-0.25
148.4,-0.25
148.6,-0.25
148.8,-0.3
149,-0.3
149.2,-0.2
149.4,-0.35
149.6,-0.45
149.8,-0.1
150,-0.3
150.2,-0.05
150.4,-0.25
150.6,-0.2
150.8,-0.35
151,-0.15
151.2,-0.25
151.4,-0.25
151.6,-0.35
151.8,-0.1
152,-0.15
152.2,-0.4
152.4,-0.4
152.6,-0.5
152.8,-0.25
153,-0.05
153.2,-0.3
153.4,-0.2
153.6,-0.2
153.8,-0.3
154,-0.15
154.2,-0.05
154.4,-0.25
154.6,-0.2
154.8,-0.25
155,-0.25
155.2,-0.45
155.4,-0.2
155.6,-0.2
155.8,-0.15
156,-0.1
156.2,-0.2
156.4,-0.3
156.6,-0.3
156.8,-0.35
157,-0.45
157.2,-0.3
157.4,-0.25
157.6,-0.25
157.8,-0.35
158,-0.2
158.2,-0.2
158.4,-0.35
158.6,-0.15
158.8,-0.2
159,-0.35
159.2,-0.35
159.4,-0.25
159.6,-0.25
159.8,-0.25
160,-0.25
160.2,-0.25
160.4,-0.35
160.6,-0.4
160.8,-0.25
161,-0.15
161.2,-0.3
161.4,-0.4
161.6,-0.15
161.8,-0.3
162,-0.2
162.2,-0.35
162.4,-0.15
162.6,-0.15
162.8,-0.4
163,-0.2
163.2,-0.2
163.4,-0.3
163.6,-0.3
163.8,-0.4
164,-0.45
164.2,0
164.4,-0.2
164.6,-0.4
164.8,-0.3
165,-0.15
165.2,-0.5
165.4,-0.2
165.6,-0.3
165.8,-0.25
166,-0.3
166.2,-0.3
166.4,-0.3
166.6,0
166.8,-0.35
167,-0.3
167.2,-0.3
167.4,-0.2
167.6,-0.35
167.8,-0.15
168,-0.2
168.2,-0.25
168.4,-0.25
168.6,-0.25
168.8,-0.15
169,-0.35
169.2,-0.15
169.4,-0.15
169.6,-0.35
169.8,-0.2
170,-0.15
170.2,-0.45
170.4,-0.45
170.6,-0.45
170.8,-0.25
171,-0.3
171.2,-0.2
171.4,-0.15
171.6,-0.25
171.8,-0.2
172,-0.15
172.2,-0.25
172.4,-0.45
172.6,-0.4
172.8,-0.4
173,-0.3
173.2,-0.4
173.4,-0.4
173.6,-0.3
173.8,-0.3
174,-0.1
174.2,-0.3
174.4,-0.45
174.6,-0.3
174.8,-0.3
175,-0.15
175.2,-0.25
175.4,-0.35
175.6,-0.3
175.8,-0.6
176,-0.25
176.2,-0.25
176.4,-0.35
176.6,-0.3
176.8,-0.15
177,-0.4
177.2,-0.35
177.4,-0.1
177.6,-0.3
177.8,-0.3
178,-0.4
178.2,-0.4
178.4,-0.15
178.6,-0.45
178.8,-0.35
179,-0.2
179.2,0
179.4,-0.25
179.6,-0.15
179.8,-0.35
180,-0.2
180.2,-0.15
180.4,-0.2
180.6,-0.2
180.8,-0.2
181,-0.3
181.2,-0.4
181.4,-0.4
181.6,-0.1
181.8,-0.1
182,-0.35
182.2,-0.05
182.4,-0.4
182.6,-0.25
182.8,-0.5
183,-0.15
183.2,-0.35
183.4,-0.2
183.6,-0.4
183.8,-0.3
184,-0.25
184.2,-0.2
184.4,-0.3
184.6,-0.45
184.8,-0.05
185,-0.4
185.2,-0.2
185.4,-0.35
185.6,-0.4
185.8,-0.35
186,-0.25
186.2,-0.15
186.4,-0.35
186.6,-0.35
186.8,-0.15
187,-0.35
187.2,-0.1
187.4,-0.05
187.6,-0.6
187.8,-0.35
188,-0.25
188.2,-0.3
188.4,-0.4
188.6,-0.5
188.8,-0.25
189,-0.1
189.2,-0.2
189.4,-0.25
189.6,-0.2
189.8,-0.2
190,-0.15
190.2,-0.1
190.4,-0.4
190.6,-0.4
190.8,-0.35
191,-0.25
191.2,-0.25
191.4,-0.35
191.6,-0.45
191.8,-0.25
192,-0.25
192.2,-0.35
192.4,0
192.6,-0.05
192.8,-0.05
193,-0.2
193.2,-0.5
193.4,-0.1
193.6,-0.3
193.8,-0.25
194,-0.2
194.2,-0.4
194.4,-0.25
194.6,-0.3
194.8,-0.3
195,-0.25
195.2,-0.35
195.4,-0.35
195.6,-0.3
195.8,-0.05
196,-0.1
196.2,-0.5
196.4,-0.2
196.6,-0.05
196.8,-0.35
197,-0.15
197.2,-0.35
197.4,-0.2
197.6,-0.4
197.8,-0.1
198,-0.1
198.2,-0.35
198.4,-0.25
198.6,-0.2
198.8,-0.25
199,-0.3
199.2,-0.2
199.4,-0.1
199.6,-0.15
199.8,-0.25
200,-0.45
200.2,0
200.4,-0.05
200.6,-0.05
200.8,-0.2
201,-0.2
201.2,-0.25
201.4,0
201.6,-0.2
201.8,-0.2
202,-0.35
202.2,-0.55
202.4,-0.45
202.6,-0.4
202.8,-0.4
203,-0.05
203.2,-0.3
203.4,-0.45
203.6,-0.15
203.8,0
204,-0.15
204.2,-0.25
204.4,-0.35
204.6,-0.3
204.8,-0.3
205,-0.25
205.2,-0.2
205.4,-0.35
205.6,-0.15
205.8,-0.1
206,-0.4
206.2,-0.3
206.4,-0.25
206.6,-0.4
206.8,-0.15
207,-0.4
207.2,-0.2
207.4,-0.3
207.6,-0.35
207.8,-0.2
208,-0.25
208.2,-0.3
208.4,-0.15
208.6,-0.25
208.8,-0.15
209,-0.25
209.2,-0.35
209.4,-0.4
209.6,-0.25
209.8,-0.15
210,-0.25
210.2,-0.3
210.4,-0.25
210.6,-0.15
210.8,-0.1
211,-0.2
211.2,-0.3
211.4,-0.25
211.6,-0.15
211.8,-0.25
212,-0.2
212.2,-0.15
212.4,-0.2
212.6,-0.3
212.8,-0.35
213,-0.35
213.2,-0.35
213.4,-0.1
213.6,-0.25
213.8,-0.25
214,-0.35
214.2,-0.2
214.4,-0.4
214.6,-0.35
214.8,-0.15
215,-0.15
215.2,-0.25
215.4,-0.15
215.6,-0.4
215.8,-0.25
216,-0.05
216.2,-0.25
216.4,-0.3
216.6,-0.3
216.8,-0.25
217,-0.25
217.2,-0.2
217.4,-0.35
217.6,-0.3
217.8,-0.35
218,-0.3
218.2,-0.35
218.4,-0.3
218.6,-0.25
218.8,-0.15
219,-0.25
219.2,-0.05
219.4,-0.3
219.6,-0.05
219.8,-0.1
220,-0.35
220.2,-0.25
220.4,-0.2
220.6,0
220.8,-0.25
221,-0.45
221.2,-0.25
221.4,-0.2
221.6,-0.15
221.8,-0.3
222,-0.2
222.2,-0.05
222.4,-0.15
222.6,-0.25
222.8,-0.15
223,-0.25
223.2,-0.1
223.4,-0.2
223.6,-0.3
223.8,-0.25
224,-0.45
224.2,-0.2
224.4,-0.25
224.6,-0.25
224.8,-0.2
225,-0.3
225.2,-0.25
225.4,-0.25
225.6,-0.25
225.8,-0.1
226,-0.5
226.2,-0.35
226.4,-0.4
226.6,-0.35
226.8,-0.4
227,-0.3
227.2,-0.4
227.4,0.05
227.6,0
227.8,-0.2
228,-0.35
228.2,-0.1
228.4,-0.35
228.6,-0.4
228.8,-0.45
229,-0.45
229.2,-0.3
229.4,-0.35
229.6,-0.35
229.8,-0.2
230,-0.3
230.2,-0.2
230.4,-0.3
230.6,-0.35
230.8,-0.25
231,-0.3
231.2,-0.45
231.4,-0.25
231.6,-0.15
231.8,-0.1
232,-0.15
232.2,-0.25
232.4,-0.3
232.6,-0.2
232.8,-0.45
233,-0.2
233.2,-0.3
233.4,-0.2
233.6,-0.45
233.8,-0.4
234,-0.25
234.2,-0.15
234.4,-0.3
234.6,-0.3
234.8,-0.2
235,-0.15
235.2,-0.15
235.4,-0.05
235.6,-0.15
235.8,-0.4
236,-0.25
236.2,-0.3
236.4,-0.3
236.6,-0.45
236.8,-0.3
237,-0.35
237.2,-0.1
237.4,-0.35
237.6,-0.25
237.8,-0.15
238,-0.5
238.2,-0.35
238.4,-0.15
238.6,-0.4
238.8,-0.3
239,-0.2
239.2,-0.15
239.4,-0.35
239.6,-0.15
239.8,-0.4
240,-0.4
240.2,-0.3
240.4,-0.15
240.6,-0.4
240.8,-0.4
241,-0.15
241.2,-0.1
241.4,-0.05
241.6,-0.3
241.8,-0.2
242,-0.3
242.2,-0.35
242.4,-0.3
242.6,-0.1
242.8,-0.15
243,-0.15
243.2,-0.3
243.4,-0.3
243.6,-0.5
243.8,-0.35
244,-0.3
244.2,-0.2
244.4,-0.6
244.6,-0.4
244.8,-0.55
245,-0.15
245.2,-0.4
245.4,-0.1
245.6,-0.1
245.8,-0.2
246,-0.2
246.2,0.05
246.4,-0.15
246.6,-0.25
246.8,-0.4
247,-0.3
247.2,-0.45
247.4,-0.4
247.6,-0.35
247.8,-0.2
248,-0.2
248.2,-0.2
248.4,-0.2
248.6,-0.35
248.8,-0.55
249,-0.2
249.2,-0.1
249.4,-0.35
249.6,-0.45
249.8,-0.2
250,-0.2
250.2,-0.3
250.4,-0.4
250.6,-0.25
250.8,-0.25
251,-0.25
251.2,-0.05
251.4,-0.3
251.6,-0.25
251.8,-0.4
252,-0.2
252.2,-0.3
252.4,-0.2
252.6,-0.3
252.8,-0.25
253,-0.2
253.2,-0.5
253.4,-0.25
253.6,-0.35
253.8,-0.2
254,-0.25
254.2,-0.3
254.4,-0.2
254.6,-0.2
254.8,-0.5
255,-0.4
255.2,-0.25
255.4,-0.2
255.6,-0.3
255.8,-0.3
256,-0.35
256.2,-0.25
256.4,-0.25
256.6,-0.25
256.8,-0.2
257,-0.2
257.2,-0.3
257.4,-0.15
257.6,-0.25
257.8,-0.2
258,-0.35
258.2,-0.3
258.4,-0.6
258.6,-0.25
258.8,-0.05
259,-0.25
259.2,-0.2
259.4,-0.65
259.6,-0.45
259.8,-0.15
260,-0.2
260.2,-0.15
260.4,-0.2
260.6,-0.35
260.8,-0.25
261,-0.1
261.2,-0.3
261.4,-0.5
261.6,-0.35
261.8,-0.2
262,-0.3
262.2,-0.55
262.4,-0.3
262.6,-0.25
262.8,-0.45
263,-0.45
263.2,0
263.4,0
263.6,-0.25
263.8,-0.35
264,-0.3
264.2,-0.35
264.4,-0.3
264.6,-0.4
264.8,-0.25
265,-0.15
265.2,-0.2
265.4,-0.4
265.6,-0.4
265.8,-0.25
266,-0.35
266.2,-0.35
266.4,-0.15
266.6,-0.35
266.8,-0.35
267,-0.4
267.2,-0.45
267.4,-0.3
267.6,-0.25
267.8,-0.25
268,-0.35
268.2,-0.3
268.4,-0.45
268.6,-0.3
268.8,-0.55
269,-0.4
269.2,-0.35
269.4,-0.25
269.6,-0.1
269.8,-0.35
270,-0.35
270.2,-0.1
270.4,-0.35
270.6,-0.15
270.8,-0.4
271,-0.15
271.2,-0.3
271.4,-0.1
271.6,-0.4
271.8,-0.3
272,-0.2
272.2,-0.25
272.4,-0.05
272.6,-0.1
272.8,-0.35
273,-0.15
273.2,-0.4
273.4,-0.3
