Time,Zeroed,Temp1,Temp2
116.8,-0.45,3,7
117,-0.5,9,6
117.2,-0.1,1,15
117.4,-0.15,3,12
117.6,-0.25,0,8
117.8,-0.2,6,10
118,-0.35,1,13
118.2,-0.2,3,14
118.4,-0.2,7,12
118.6,-0.25,8,6
118.8,-0.05,9,6
119,-0.1,7,15
119.2,-0.35,4,12
119.4,-0.15,4,15
119.6,-0.45,7,14
119.8,-0.25,2,4
120,-0.5,10,15
120.2,-0.15,7,15
120.4,-0.3,0,9
120.6,-0.3,7,10
120.8,-0.25,5,5
121,-0.3,7,15
121.2,-0.35,0,7
121.4,-0.3,1,9
121.6,-0.4,2,5
121.8,-0.25,8,13
122,-0.3,8,3
122.2,-0.3,8,10
122.4,-0.3,5,14
122.6,-0.25,2,11
122.8,-0.25,6,15
123,-0.25,4,14
123.2,-0.1,7,11
123.4,-0.1,6,4
123.6,-0.35,8,3
123.8,-0.15,2,7
124,-0.4,3,6
124.2,-0.25,4,10
124.4,-0.2,2,12
124.6,0,5,12
124.8,-0.35,7,7
125,-0.2,9,6
125.2,-0.15,8,10
125.4,-0.1,9,9
125.6,-0.35,8,5
125.8,-0.3,4,8
126,-0.2,0,7
126.2,-0.35,1,4
126.4,-0.15,4,7
126.6,-0.2,3,12
126.8,-0.15,6,9
127,-0.15,7,4
127.2,-0.35,10,4
127.4,-0.3,1,10
127.6,-0.1,0,13
127.8,-0.45,4,15
128,-0.5,6,6
128.2,-0.2,5,4
128.4,-0.4,10,9
128.6,-0.2,7,11
128.8,-0.5,4,15
129,-0.25,10,4
129.2,-0.05,6,13
129.4,-0.2,1,3
129.6,-0.25,10,10
129.8,-0.05,8,6
130,0,0,10
130.2,-0.3,5,5
130.4,-0.35,8,14
130.6,-0.35,8,7
130.8,-0.4,3,12
131,-0.4,9,4
131.2,0.05,9,7
131.4,-0.2,4,10
131.6,-0.15,10,11
131.8,-0.4,3,15
132,-0.55,2,3
132.2,-0.25,0,8
132.4,-0.4,8,5
132.6,-0.35,5,9
132.8,-0.35,2,13
133,-0.05,1,6
133.2,-0.3,3,10
133.4,-0.45,4,9
133.6,-0.2,3,10
133.8,-0.25,6,10
134,-0.2,2,10
134.2,-0.4,7,9
134.4,-0.4,9,5
134.6,-0.35,0,11
134.8,-0.4,0,3
135,-0.25,9,11
135.2,-0.15,10,4
135.4,-0.35,4,7
135.6,-0.3,2,5
135.8,-0.2,2,7
136,-0.35,0,3
136.2,-0.4,6,13
136.4,-0.35,1,8
136.6,-0.55,6,3
136.8,-0.2,5,8
137,-0.2,2,11
137.2,-0.3,4,5
137.4,-0.35,5,14
137.6,-0.05,10,3
137.8,-0.35,9,14
138,-0.3,3,14
138.2,-0.3,9,9
138.4,-0.25,4,9
138.6,-0.1,2,8
138.8,-0.25,6,13
139,-0.35,8,14
139.2,-0.15,5,9
139.4,-0.4,0,11
139.6,-0.2,2,13
139.8,-0.25,4,5
140,-0.25,9,5
140.2,-0.25,6,7
140.4,-0.2,5,7
140.6,-0.35,5,15
140.8,-0.3,1,12
141,-0.4,4,10
141.2,-0.35,5,7
141.4,-0.4,0,3
141.6,-0.3,3,3
141.8,-0.3,10,4
142,-0.25,9,6
142.2,-0.45,4,9
142.4,-0.3,0,9
142.6,-0.2,3,13
142.8,-0.3,9,4
143,-0.25,3,8
143.2,-0.35,9,3
143.4,-0.3,1,7
143.6,-0.3,9,14
143.8,-0.3,0,7
144,-0.3,9,9
144.2,-0.35,1,7
144.4,-0.25,3,9
144.6,-0.45,1,10
144.8,-0.2,0,4
145,-0.15,5,9
145.2,-0.25,5,13
145.4,-0.35,2,15
145.6,-0.1,3,12
145.8,-0.3,9,10
146,-0.25,7,12
146.2,-0.3,6,7
146.4,-0.2,7,9
146.6,-0.45,0,4
146.8,-0.2,3,6
147,-0.2,2,8
147.2,-0.25,6,6
147.4,-0.3,9,5
147.6,-0.2,1,3
147.8,-0.05,2,10
148,-0.45,3,3
148.2,-0.25,4,10
148.4,-0.25,1,11
148.6,-0.25,9,5
148.8,-0.3,3,12
149,-0.3,0,10
149.2,-0.2,9,11
149.4,-0.35,4,8
149.6,-0.45,4,7
149.8,-0.1,8,15
150,-0.3,10,12
150.2,-0.05,8,9
150.4,-0.25,4,14
150.6,-0.2,8,7
150.8,-0.35,9,11
151,-0.15,7,8
151.2,-0.25,4,10
151.4,-0.25,6,4
151.6,-0.35,4,11
151.8,-0.1,7,14
152,-0.15,10,15
152.2,-0.4,3,8
152.4,-0.4,7,9
152.6,-0.5,8,8
152.8,-0.25,6,4
153,-0.05,10,11
153.2,-0.3,7,11
153.4,-0.2,1,10
153.6,-0.2,4,9
153.8,-0.3,5,9
154,-0.15,3,5
154.2,-0.05,4,15
154.4,-0.25,7,15
154.6,-0.2,4,11
154.8,-0.25,3,12
155,-0.25,0,4
155.2,-0.45,10,13
155.4,-0.2,6,14
155.6,-0.2,6,9
155.8,-0.15,0,14
156,-0.1,0,4
156.2,-0.2,3,12
156.4,-0.3,10,15
156.6,-0.3,7,7
156.8,-0.35,3,12
157,-0.45,3,15
157.2,-0.3,10,12
157.4,-0.25,2,5
157.6,-0.25,6,8
157.8,-0.35,2,6
158,-0.2,8,14
158.2,-0.2,0,12
158.4,-0.35,5,6
158.6,-0.15,0,13
158.8,-0.2,2,15
159,-0.35,2,6
159.2,-0.35,3,3
159.4,-0.25,1,4
159.6,-0.25,6,7
159.8,-0.25,3,12
160,-0.25,7,3
160.2,-0.25,5,11
160.4,-0.35,8,3
160.6,-0.4,2,9
160.8,-0.25,6,13
161,-0.15,8,8
161.2,-0.3,9,10
161.4,-0.4,3,7
161.6,-0.15,6,14
161.8,-0.3,6,5
162,-0.2,0,9
162.2,-0.35,4,12
162.4,-0.15,2,15
162.6,-0.15,6,15
162.8,-0.4,1,14
163,-0.2,7,10
163.2,-0.2,9,14
163.4,-0.3,2,4
163.6,-0.3,9,12
163.8,-0.4,7,13
164,-0.45,3,12
164.2,0,1,11
164.4,-0.2,8,9
164.6,-0.4,5,3
164.8,-0.3,0,14
165,-0.15,4,11
165.2,-0.5,9,10
165.4,-0.2,2,11
165.6,-0.3,1,13
165.8,-0.25,7,10
166,-0.3,10,10
166.2,-0.3,0,13
166.4,-0.3,9,11
166.6,0,8,15
166.8,-0.35,5,3
167,-0.3,9,14
167.2,-0.3,6,4
167.4,-0.2,9,8
167.6,-0.35,0,10
167.8,-0.15,3,7
168,-0.2,7,15
168.2,-0.25,4,7
168.4,-0.25,10,5
168.6,-0.25,0,4
168.8,-0.15,2,13
169,-0.35,9,5
169.2,-0.15,2,12
169.4,-0.15,0,5
169.6,-0.35,3,10
169.8,-0.2,6,8
170,-0.15,0,12
170.2,-0.45,2,7
170.4,-0.45,6,15
170.6,-0.45,6,7
170.8,-0.25,7,4
171,-0.3,7,5
171.2,-0.2,5,7
171.4,-0.15,0,6
171.6,-0.25,3,13
171.8,-0.2,6,4
172,-0.15,10,7
172.2,-0.25,8,9
172.4,-0.45,4,12
172.6,-0.4,6,5
172.8,-0.4,1,3
173,-0.3,4,7
173.2,-0.4,8,14
173.4,-0.4,4,11
173.6,-0.3,4,11
173.8,-0.3,6,11
174,-0.1,10,13
174.2,-0.3,5,13
174.4,-0.45,0,3
174.6,-0.3,7,5
174.8,-0.3,7,5
175,-0.15,6,6
175.2,-0.25,2,5
175.4,-0.35,2,11
175.6,-0.3,1,13
175.8,-0.6,6,13
176,-0.25,8,6
176.2,-0.25,1,4
176.4,-0.35,6,5
176.6,-0.3,9,15
176.8,-0.15,9,5
177,-0.4,9,6
177.2,-0.35,3,13
177.4,-0.1,9,7
177.6,-0.3,7,14
177.8,-0.3,7,3
178,-0.4,4,10
178.2,-0.4,10,8
178.4,-0.15,8,6
178.6,-0.45,9,3
178.8,-0.35,6,12
179,-0.2,4,4
179.2,0,2,3
179.4,-0.25,7,12
179.6,-0.15,0,7
179.8,-0.35,6,9
180,-0.2,9,12
180.2,-0.15,6,14
180.4,-0.2,5,8
180.6,-0.2,7,6
180.8,-0.2,7,15
181,-0.3,6,9
181.2,-0.4,1,13
181.4,-0.4,1,7
181.6,-0.1,5,9
181.8,-0.1,9,3
182,-0.35,1,4
182.2,-0.05,10,10
182.4,-0.4,3,10
182.6,-0.25,5,6
182.8,-0.5,8,6
183,-0.15,1,15
183.2,-0.35,6,9
183.4,-0.2,5,5
183.6,-0.4,2,4
183.8,-0.3,4,13
184,-0.25,5,14
184.2,-0.2,9,8
184.4,-0.3,7,6
184.6,-0.45,2,5
184.8,-0.05,8,8
185,-0.4,1,6
185.2,-0.2,9,6
185.4,-0.35,3,9
185.6,-0.4,9,7
185.8,-0.35,8,10
186,-0.25,6,15
186.2,-0.15,9,5
186.4,-0.35,5,6
186.6,-0.35,1,7
186.8,-0.15,10,7
187,-0.35,0,3
187.2,-0.1,8,8
187.4,-0.05,2,15
187.6,-0.6,1,11
187.8,-0.35,0,10
188,-0.25,2,9
188.2,-0.3,7,9
188.4,-0.4,10,7
188.6,-0.5,6,9
188.8,-0.25,7,3
189,-0.1,3,13
189.2,-0.2,7,4
189.4,-0.25,4,12
189.6,-0.2,6,13
189.8,-0.2,5,11
190,-0.15,10,5
190.2,-0.1,8,13
190.4,-0.4,0,7
190.6,-0.4,7,11
190.8,-0.35,6,14
191,-0.25,3,15
191.2,-0.25,10,11
191.4,-0.35,8,3
191.6,-0.45,9,12
191.8,-0.25,5,11
192,-0.25,5,5
192.2,-0.35,10,10
192.4,0,7,4
192.6,-0.05,3,7
192.8,-0.05,2,5
193,-0.2,3,13
193.2,-0.5,0,8
193.4,-0.1,8,12
193.6,-0.3,6,8
193.8,-0.25,5,8
194,-0.2,9,8
194.2,-0.4,1,7
194.4,-0.25,0,7
194.6,-0.3,1,13
194.8,-0.3,8,6
195,-0.25,1,13
195.2,-0.35,0,14
195.4,-0.35,4,8
195.6,-0.3,2,7
195.8,-0.05,9,10
196,-0.1,8,5
196.2,-0.5,4,7
196.4,-0.2,6,12
196.6,-0.05,8,4
196.8,-0.35,10,5
197,-0.15,7,15
197.2,-0.35,0,6
197.4,-0.2,1,13
197.6,-0.4,6,8
197.8,-0.1,5,9
198,-0.1,10,4
198.2,-0.35,6,6
198.4,-0.25,6,7
198.6,-0.2,1,9
198.8,-0.25,10,7
199,-0.3,2,5
199.2,-0.2,7,6
199.4,-0.1,7,10
199.6,-0.15,1,11
199.8,-0.25,6,3
200,-0.45,4,10
200.2,0,6,5
200.4,-0.05,7,11
200.6,-0.05,0,13
200.8,-0.2,7,11
201,-0.2,3,11
201.2,-0.25,7,13
201.4,0,1,10
201.6,-0.2,5,3
201.8,-0.2,6,12
202,-0.35,6,4
202.2,-0.55,8,11
202.4,-0.45,4,3
202.6,-0.4,1,15
202.8,-0.4,6,11
203,-0.05,1,6
203.2,-0.3,6,5
203.4,-0.45,0,15
203.6,-0.15,0,6
203.8,0,2,3
204,-0.15,3,10
204.2,-0.25,2,7
204.4,-0.35,2,12
204.6,-0.3,1,12
204.8,-0.3,4,5
205,-0.25,2,9
205.2,-0.2,6,7
205.4,-0.35,2,6
205.6,-0.15,0,5
205.8,-0.1,3,11
206,-0.4,3,8
206.2,-0.3,3,7
206.4,-0.25,10,8
206.6,-0.4,7,8
206.8,-0.15,7,12
207,-0.4,9,4
207.2,-0.2,9,10
207.4,-0.3,2,9
207.6,-0.35,7,14
207.8,-0.2,5,14
208,-0.25,10,4
208.2,-0.3,0,10
208.4,-0.15,1,14
208.6,-0.25,8,11
208.8,-0.15,3,9
209,-0.25,9,4
209.2,-0.35,0,7
209.4,-0.4,10,8
209.6,-0.25,3,6
209.8,-0.15,3,5
210,-0.25,2,3
210.2,-0.3,8,13
210.4,-0.25,0,11
210.6,-0.15,6,13
210.8,-0.1,3,9
211,-0.2,3,8
